iter	F1:class=0_TP	F1:class=0_TP+FP	F1:class=0_TP+FN	F1:class=1_TP	F1:class=1_TP+FP	F1:class=1_TP+FN
347	50231	50484	50255	205	229	458
348	50231	50483	50255	206	230	458
349	50231	50483	50255	206	230	458
350	50231	50482	50255	207	231	458
351	50231	50482	50255	207	231	458
352	50231	50482	50255	207	231	458
353	50231	50482	50255	207	231	458
354	50231	50482	50255	207	231	458
355	50231	50482	50255	207	231	458
356	50231	50481	50255	208	232	458
357	50231	50481	50255	208	232	458
358	50231	50481	50255	208	232	458
359	50231	50481	50255	208	232	458
360	50231	50481	50255	208	232	458
361	50231	50480	50255	209	233	458
362	50230	50479	50255	209	234	458
363	50230	50480	50255	208	233	458
364	50230	50480	50255	208	233	458
365	50230	50482	50255	206	231	458
366	50230	50480	50255	208	233	458
367	50230	50480	50255	208	233	458
368	50230	50481	50255	207	232	458
369	50230	50481	50255	207	232	458
370	50230	50480	50255	208	233	458
371	50231	50481	50255	208	232	458
372	50231	50480	50255	209	233	458
373	50231	50478	50255	211	235	458
374	50231	50479	50255	210	234	458
375	50231	50479	50255	210	234	458
376	50230	50477	50255	211	236	458
377	50231	50479	50255	210	234	458
378	50231	50479	50255	210	234	458
379	50231	50478	50255	211	235	458
380	50231	50480	50255	209	233	458
381	50231	50478	50255	211	235	458
382	50231	50478	50255	211	235	458
383	50230	50477	50255	211	236	458
384	50230	50476	50255	212	237	458
385	50230	50478	50255	210	235	458
386	50230	50478	50255	210	235	458
387	50230	50478	50255	210	235	458
388	50230	50477	50255	211	236	458
389	50230	50477	50255	211	236	458
390	50230	50479	50255	209	234	458
391	50230	50478	50255	210	235	458
392	50230	50478	50255	210	235	458
393	50230	50478	50255	210	235	458
394	50230	50478	50255	210	235	458
395	50230	50478	50255	210	235	458
396	50230	50477	50255	211	236	458
397	50230	50476	50255	212	237	458
398	50230	50477	50255	211	236	458
399	50230	50475	50255	213	238	458
400	50230	50476	50255	212	237	458
401	50230	50475	50255	213	238	458
402	50230	50475	50255	213	238	458
403	50230	50475	50255	213	238	458
404	50230	50476	50255	212	237	458
405	50230	50476	50255	212	237	458
406	50230	50476	50255	212	237	458
407	50230	50476	50255	212	237	458
408	50230	50476	50255	212	237	458
409	50230	50476	50255	212	237	458
410	50230	50476	50255	212	237	458
411	50230	50476	50255	212	237	458
412	50230	50476	50255	212	237	458
413	50230	50476	50255	212	237	458
414	50230	50475	50255	213	238	458
415	50230	50476	50255	212	237	458
416	50230	50476	50255	212	237	458
417	50230	50476	50255	212	237	458
418	50230	50476	50255	212	237	458
419	50230	50476	50255	212	237	458
420	50230	50477	50255	211	236	458
421	50230	50476	50255	212	237	458
422	50230	50477	50255	211	236	458
423	50230	50477	50255	211	236	458
424	50230	50476	50255	212	237	458
425	50230	50476	50255	212	237	458
426	50230	50478	50255	210	235	458
427	50230	50476	50255	212	237	458
428	50230	50476	50255	212	237	458
429	50230	50476	50255	212	237	458
430	50229	50476	50255	211	237	458
431	50229	50474	50255	213	239	458
432	50229	50474	50255	213	239	458
433	50229	50474	50255	213	239	458
434	50229	50474	50255	213	239	458
435	50229	50474	50255	213	239	458
436	50229	50475	50255	212	238	458
437	50229	50475	50255	212	238	458
438	50229	50475	50255	212	238	458
439	50229	50475	50255	212	238	458
440	50229	50474	50255	213	239	458
441	50229	50474	50255	213	239	458
442	50229	50473	50255	214	240	458
443	50229	50473	50255	214	240	458
444	50229	50473	50255	214	240	458
445	50229	50472	50255	215	241	458
446	50229	50472	50255	215	241	458
447	50229	50470	50255	217	243	458
448	50229	50471	50255	216	242	458
449	50229	50471	50255	216	242	458
450	50229	50471	50255	216	242	458
451	50229	50470	50255	217	243	458
452	50229	50471	50255	216	242	458
453	50229	50469	50255	218	244	458
454	50229	50468	50255	219	245	458
455	50229	50468	50255	219	245	458
456	50230	50469	50255	219	244	458
457	50229	50468	50255	219	245	458
458	50229	50469	50255	218	244	458
459	50229	50471	50255	216	242	458
460	50229	50470	50255	217	243	458
461	50229	50470	50255	217	243	458
462	50229	50469	50255	218	244	458
463	50229	50469	50255	218	244	458
464	50229	50469	50255	218	244	458
465	50230	50469	50255	219	244	458
466	50230	50469	50255	219	244	458
467	50230	50469	50255	219	244	458
468	50230	50469	50255	219	244	458
469	50230	50469	50255	219	244	458
470	50230	50470	50255	218	243	458
471	50230	50470	50255	218	243	458
472	50230	50470	50255	218	243	458
473	50230	50470	50255	218	243	458
474	50230	50471	50255	217	242	458
475	50230	50471	50255	217	242	458
476	50230	50471	50255	217	242	458
477	50229	50469	50255	218	244	458
478	50230	50470	50255	218	243	458
479	50230	50470	50255	218	243	458
480	50230	50470	50255	218	243	458
481	50230	50469	50255	219	244	458
482	50230	50469	50255	219	244	458
483	50229	50469	50255	218	244	458
484	50229	50469	50255	218	244	458
485	50228	50467	50255	219	246	458
486	50229	50468	50255	219	245	458
487	50229	50469	50255	218	244	458
488	50228	50468	50255	218	245	458
489	50229	50467	50255	220	246	458
490	50229	50467	50255	220	246	458
491	50229	50468	50255	219	245	458
492	50228	50466	50255	220	247	458
493	50229	50467	50255	220	246	458
494	50229	50468	50255	219	245	458
495	50229	50467	50255	220	246	458
496	50229	50465	50255	222	248	458
497	50229	50465	50255	222	248	458
498	50229	50465	50255	222	248	458
499	50229	50467	50255	220	246	458
